url,title,price,currency_symbol,marca,modelo,year,color,combustible,puertas,transmision,motor,carroceria,km,price_in_pesos
https://auto.mercadolibre.com.ar/mla-1106760341-suran-comfortline-2018-sin-rodar-okm-_jm#position=6&search_layout=grid&type=item&tracking_id=7a14226f-3b52-4d3c-bfc6-4ac0d6b8bdb2,volkswagen suran 1.6 comfortline,4549999,$,volkswagen,suran,2018,blanco,nafta,5,manual,1.6,hatchback,11111,4549999
https://auto.mercadolibre.com.ar/mla-1128090284-toyota-corolla-18-se-g-cvt-140cv-_jm#position=7&search_layout=grid&type=item&tracking_id=7a14226f-3b52-4d3c-bfc6-4ac0d6b8bdb2,toyota corolla 1.8 se-g cvt 140cv,45000,u$s,toyota,corolla,2020,plateado,nafta,4,automática,1.8,sedán,9956,8685000
https://auto.mercadolibre.com.ar/mla-1126397483-suzuki-grand-vitara-_jm#position=8&search_layout=grid&type=item&tracking_id=7a14226f-3b52-4d3c-bfc6-4ac0d6b8bdb2,suzuki grand vitara 2.0 4x4 tdi,2100000,$,suzuki,grand vitara,2006,gris,diésel,5,manual,2.7,suv,193000,2100000
https://auto.mercadolibre.com.ar/mla-1102703516-bmw-serie-5-30-535ia-executive-306cv-_jm#position=9&search_layout=grid&type=item&tracking_id=7a14226f-3b52-4d3c-bfc6-4ac0d6b8bdb2,bmw serie 5 3.0 535ia executive 306cv,6595000,$,bmw,serie 5,2012,gris,nafta,4,automática,3.0,sedán,90000,6595000
https://auto.mercadolibre.com.ar/mla-1126668846-volkswagen-taos-250-tsi-0km-_jm#position=10&search_layout=grid&type=item&tracking_id=7a14226f-3b52-4d3c-bfc6-4ac0d6b8bdb2,volkswagen taos 1.4 250 tsi comfortline,5661600,$,volkswagen,taos,2021,blanco,nafta,5,automática,1.4,suv,1900,5661600
https://auto.mercadolibre.com.ar/mla-1102131779-audi-q7-42-fsi-350cv-tiptronic-quattro-_jm#position=11&search_layout=grid&type=item&tracking_id=7a14226f-3b52-4d3c-bfc6-4ac0d6b8bdb2,audi q7 4.2 fsi 350cv tiptronic quattro,30000,u$s,audi,q7,2007,gris,nafta,5,automática,4.2,suv,159800,5790000
https://auto.mercadolibre.com.ar/mla-1100266331-volkswagen-taos-14-tsi-highline-tiptronic-2021-car-cash-_jm#position=12&search_layout=grid&type=item&tracking_id=7a14226f-3b52-4d3c-bfc6-4ac0d6b8bdb2,volkswagen taos 1.4 tsi highline tiptronic 150cv,9500000,$,volkswagen,taos,2021,gris,nafta,5,automática,1.4,suv,1000,9500000
https://auto.mercadolibre.com.ar/mla-934829454-jeep-grand-cherokee-64-srt-atx-465hp-2017-car-cash-_jm#position=13&search_layout=grid&type=item&tracking_id=7a14226f-3b52-4d3c-bfc6-4ac0d6b8bdb2,jeep grand cherokee 6.4 srt atx 465hp at,92000,u$s,jeep,grand cherokee,2017,gris,nafta,5,automática,6.4,suv,59000,17756000
https://auto.mercadolibre.com.ar/mla-932494005-nissan-frontier-4x4-2021-le-cd-23-d-at-san-blas-auto-_jm#position=14&search_layout=grid&type=item&tracking_id=7a14226f-3b52-4d3c-bfc6-4ac0d6b8bdb2,nissan frontier 2.3 le cd 4x4 at,8060000,$,nissan,frontier,2021,plateado,diésel,4,automática,2.3,pick-up,980,8060000
https://auto.mercadolibre.com.ar/mla-1100257904-chevrolet-s10-28-ls-cd-tdci-200cv-4x2-gs-_jm#position=15&search_layout=grid&type=item&tracking_id=7a14226f-3b52-4d3c-bfc6-4ac0d6b8bdb2,chevrolet s10 2.8 ls cd tdci 200cv 4x2,5250000,$,chevrolet,s10,2021,plateado,diésel,4,manual,2.8,pick-up,10000,5250000
https://auto.mercadolibre.com.ar/mla-1131945882-renault-koleos-25-2wd-cvt-2018-_jm#position=16&search_layout=grid&type=item&tracking_id=7a14226f-3b52-4d3c-bfc6-4ac0d6b8bdb2,renault koleos 2.5 2wd cvt,4990000,$,renault,koleos,2018,blanco,nafta,5,automática,2.5,suv,72000,4990000
https://auto.mercadolibre.com.ar/mla-1118360347-chevrolet-tracker-18-ltz-4x2-2014-_jm#position=17&search_layout=grid&type=item&tracking_id=7a14226f-3b52-4d3c-bfc6-4ac0d6b8bdb2,chevrolet tracker 1.8 ltz fwd mt 140cv,2954000,$,chevrolet,tracker,2014,negro,nafta,5,manual,1.8,suv,143449,2954000
