marca,year,color,combustible,puertas,transmision,motor,carroceria,km,price_in_pesos
chevrolet,2020,gris,nafta,4,automática,1.4,sedán,30000,4999900
chevrolet,2014,rojo,nafta,5,manual,1.8,suv,74000,2899900
peugeot,2012,blanco,nafta,4,manual,1.6,monovolumen,138000,2150000
bmw,2021,blanco,nafta,4,manual,2.0,sedán,1764,12500000
mercedes-benz,2017,gris,nafta,4,automática,3.0,sedán,58045,15980000
ford,2015,rojo,nafta,5,manual,2.0,suv,112000,2350000
volkswagen,2020,azul,nafta,5,manual,1.6,suv,29700,4500000
renault,2019,plateado,nafta,5,automática,1.6,suv,21100,4500000
volkswagen,2021,gris,nafta,5,automática,1.0,suv,7688,6050000
ram,2020,azul,nafta,4,automática,5.7,pick-up,9637,10200000
fiat,2017,plateado,nafta/gnc,4,manual,1.4,sedán,42000,1785000
nissan,2021,blanco,nafta,4,automática,2.0,sedán,18000,5900000
citroën,2020,plateado,nafta,5,manual,1.6,hatchback,19000,3380000
renault,2021,blanco,diésel,4,manual,2.3,pick-up,16000,7900000
toyota,2018,blanco,nafta,4,automática,1.5,sedán,53000,2800000
volkswagen,2017,plateado,nafta,5,manual,1.6,monovolumen,97000,2800000
ford,2019,gris,diésel,4,automática,3.2,pick-up,63401,7600000
peugeot,2021,blanco,nafta,5,automática,1.6,hatchback,5000,4189000
volkswagen,2016,gris,nafta,4,automática,2.5,sedán,74500,3300000
nissan,2020,plateado,nafta,4,manual,2.0,sedán,18000,4650000
volkswagen,2020,blanco,nafta,5,automática,1.0,suv,11900,6050000
toyota,2008,plateado,nafta,4,automática,1.8,sedán,148000,1750000
suzuki,2017,azul,nafta,5,manual,1.6,suv,97500,4029000
toyota,2016,gris,nafta,4,manual,1.5,sedán,11000,2400000
chevrolet,2017,plateado,nafta,5,manual,1.4,hatchback,60000,2100000
kia,2020,blanco,nafta,4,automática,2.0,sedán,35000,4889900
ford,2009,negro,nafta,5,manual,1.6,suv,120000,1290000
toyota,2012,blanco,diésel,5,manual,3.0,suv,76000,6289900
ram,2015,blanco,nafta,4,automática,5.7,pick-up,123566,7350000
peugeot,2018,gris,nafta,5,manual,1.6,suv,27000,3600002
volkswagen,2009,negro,nafta,3,manual,1.6,hatchback,110000,1060000
volkswagen,2018,blanco,nafta,5,automática,1.4,hatchback,36000,6000000
renault,2015,negro,nafta,3,manual,1.2,hatchback,87000,1350000
volkswagen,2017,gris,nafta,5,automática,2.0,hatchback,75000,7180000
toyota,2018,gris,nafta,4,manual,1.5,sedán,71000,3189000
toyota,2019,rojo,nafta,5,automática,1.5,hatchback,46000,3569000
ford,2015,blanco,nafta,5,manual,1.6,hatchback,95000,2270000
ford,2018,blanco,diésel,4,manual,3.2,pick-up,41500,7100000
audi,2021,negro,nafta,5,automática,1.0,hatchback,4000,8000000
audi,2020,negro,nafta,5,automática,1.0,hatchback,3000,8000000
land rover,2011,negro,nafta,5,automática,5.0,suv,144004,10000000
audi,2019,blanco,nafta,4,manual,2.0,sedán,43915,8580000
porsche,2001,negro,nafta,2,automática,3.2,coupé,70000,11600000
audi,2016,celeste,nafta,5,automática,2.0,suv,70000,6800000
audi,2009,negro,diésel,5,manual,2.0,hatchback,120000,2100000
volkswagen,2011,negro,nafta,5,manual,1.6,hatchback,109000,1499000
chevrolet,2018,blanco,nafta,5,manual,1.8,suv,41000,4059000
peugeot,2017,plateado,nafta,5,manual,1.6,hatchback,36000,2999900
audi,2019,blanco,nafta,4,manual,2.0,sedán,43915,8200000
renault,2021,gris,diésel,4,manual,2.3,pick-up,6000,6490000
peugeot,2016,gris,nafta,5,manual,1.6,monovolumen,65000,3790000
peugeot,2017,plateado,diésel,5,manual,1.6,hatchback,63118,3300000
peugeot,2021,blanco,diésel,5,automática,2.0,suv,8500,10490000
volkswagen,2016,gris,nafta,5,manual,1.6,monovolumen,79689,2627000
peugeot,2016,blanco,nafta,5,manual,1.6,hatchback,122600,2575000
volkswagen,2018,negro,nafta,5,automática,2.0,suv,100000,6700000
jeep,2018,rojo,nafta,5,automática,1.8,suv,20000,5190000
ford,2017,gris,nafta,4,manual,1.6,sedán,38783,3200000
toyota,2012,gris,diésel,5,automática,3.0,suv,139000,6000000
volkswagen,2017,blanco,nafta,5,manual,1.6,hatchback,41000,2200000
jeep,2013,gris,nafta,5,automática,3.6,suv,155000,6900000
volkswagen,2020,blanco,nafta,5,manual,1.6,hatchback,21026,3075000
chevrolet,2017,gris,diésel,4,manual,2.8,pick-up,55000,4700000
audi,2021,plateado,nafta,5,automática,3.0,suv,3000,31600000
audi,2021,plateado,nafta,5,automática,3.0,suv,3000,31600000
citroën,2016,blanco,nafta,4,manual,1.6,sedán,72000,2550000
volkswagen,2020,gris,nafta,5,manual,1.6,hatchback,21000,3290000
audi,2020,blanco,nafta,5,automática,3.0,suv,3000,31600000
fiat,2019,rojo,nafta,3,manual,1.4,hatchback,48000,4100000
volkswagen,2019,azul,nafta,4,automática,1.4,sedán,64000,5000000
audi,2021,gris,nafta,5,automática,1.0,hatchback,2000,7980000
audi,2021,blanco,nafta,5,automática,1.0,hatchback,4000,8000000
audi,2021,blanco,nafta,5,automática,1.0,hatchback,1000,8000000
volkswagen,2020,marrón,nafta,5,manual,1.6,suv,13000,4720000
volkswagen,2020,blanco,nafta,4,manual,1.6,sedán,36000,3300000
volkswagen,2021,blanco,nafta,5,automática,1.0,suv,9475,6050000
volkswagen,2017,marrón,nafta,4,automática,2.0,sedán,82000,5950000
peugeot,2016,blanco,nafta,5,manual,1.6,hatchback,118000,2400000
chevrolet,2018,rojo,nafta,5,manual,1.4,hatchback,65000,3850000
ford,2019,rojo,nafta,5,automática,2.0,hatchback,33000,4490000
ford,2016,blanco,nafta,5,manual,1.6,hatchback,78000,2240000
volkswagen,2016,gris,nafta,4,automática,2.5,sedán,74600,3300000
ford,2019,blanco,nafta,5,manual,1.5,hatchback,105000,2000000
chevrolet,2013,plateado,nafta,4,manual,1.4,sedán,140000,1300000
ram,2018,rojo,nafta,4,automática,5.7,pick-up,68000,9300000
renault,2019,negro,nafta,5,manual,1.0,hatchback,27000,2300000
peugeot,2018,gris,nafta,5,manual,1.6,hatchback,35000,2750000
ford,2020,blanco,nafta,4,automática,2.0,sedán,25000,7000000
